num,name,BBclass,Check,smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,Propanolol,1,2,CC(C)NCC(O)COc1cccc2ccccc12,9.843953766691861,-0.4987329931972795,9.843953766691861,0.2993329554043842,0.8375057924076362,259.34900000000005,238.18099999999995,259.157228912,102,0,0.12675869165350548,-0.49019502312328916,0.49019502312328916,0.12675869165350548,1.105263157894737,1.8421052631578947,2.6315789473684212,16.489516152072376,10.110876783104922,2.0714360516187766,-2.1549170352990323,2.245590993589872,-2.346909974736159,5.87641550649045,0.1052503592274712,1.9779417823071141,519.6427894422644,13.664925939000156,11.465827871043551,11.465827871043551,9.16470379794645,6.685791019114888,6.685791019114888,5.0050612108958275,5.0050612108958275,2.9425786417040287,2.9425786417040287,1.9381932675812228,1.9381932675812228,-1.5799999999999996,22327.72709286353,13.84252142964087,6.547124220490315,3.9447395719001546,113.76036150292278,15.160178952647087,18.460360185545124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.245676810150904,11.452591282926406,17.97282144952533,0.0,9.843390348640755,10.772448428929591,0.0,5.316788604006331,0.0,25.993281616277514,13.151638370425493,42.46456947923127,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,30.40397298216246,0.0,0.0,13.847474399381248,42.46456947923127,0.0,10.772448428929591,0.0,41.489999999999995,6.103966387748303,5.106527394840706,0.0,0.0,19.193479199573453,16.521960262213497,0.0,0.0,30.33183534230805,31.296997140310797,4.736862953800049,5.723354119425549,0.0,0.0,15.258388238011253,0.0,0.8210156840513985,14.411528118963636,-0.4987329931972795,4.951113499412111,0.0,0.375,19,2,3,0,0,0,2,0,2,3,2,3,6,0,0,0,2,2.5775000000000006,78.58850000000005,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Terbutylchlorambucil,1,2,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,11.682267749519735,-0.40969098783565605,11.682267749519735,0.13470350189866753,0.4748208495574166,360.32500000000005,333.10900000000004,359.141884464,130,0,0.3058126544757872,-0.4599478444235159,0.4599478444235159,0.3058126544757872,1.0869565217391304,1.6521739130434783,2.130434782608696,35.49675362605588,10.074096807959336,2.151891909617768,-2.226406972350156,2.171389352437839,-2.2696328329032203,6.182875633901804,-0.15440227772484644,2.458834471614553,462.905083873753,17.294682450997076,14.278787667510478,15.79064555954739,10.852685169664095,8.031431235536765,9.100476203186464,6.471456179320208,7.227385125338664,3.2767284299878363,3.6147901318792424,2.276861130093487,2.684937702906069,-0.9299999999999999,79428.7448714238,20.11531037607612,10.04313306942461,8.474206944686983,149.45214194577363,9.636772684650527,5.601050810983688,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,23.20187978046503,12.13273413692322,51.3090404735441,36.9577275993754,0.0,9.53140013787187,34.858571343100444,0.0,0.0,0.0,45.634727278833594,29.749429432616306,29.828919765543436,0.0,0.0,4.899909730850478,5.687386274683562,0.0,23.20187978046503,36.41987580070137,15.95222176079788,0.0,39.17630633662088,24.26546827384644,0.0,0.0,0.0,29.54,5.601050810983688,4.794537184071822,0.0,5.969305287951849,18.180828512866686,31.618542332360732,5.563451491696996,0.0,20.771211599071872,29.16537800469692,27.938742734265084,5.309429372106763,11.657051081851742,13.853375682375052,0.0,1.9340107772035917,1.0211074628916514,8.364671280549256,2.106658516742241,7.2259180485019225,0.0,0.6111111111111112,23,0,3,0,0,0,1,0,1,3,0,5,9,0,0,0,1,4.635000000000004,98.87800000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40730,1,2,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,14.983653155706726,-1.3153294094140058,14.983653155706726,0.04335879104728346,0.8747398264671755,361.37300000000005,341.2130000000001,361.14378433999997,138,0,0.34072313809849797,-0.48691699060409394,0.48691699060409394,0.34072313809849797,1.3076923076923077,2.0,2.6538461538461537,19.142220377842758,10.052547816243733,2.303971358738993,-2.365850277363616,2.415025944147616,-2.448220383518269,5.96880007949273,0.06940102819097355,2.004088915400979,963.2881482992597,18.585057479767894,14.659148439902266,14.659148439902266,12.379917853109722,8.590996602544717,8.590996602544717,6.966959135208313,6.966959135208313,5.19184167056234,5.19184167056234,3.6887701657350496,3.6887701657350496,-2.61,825393.7397774052,16.8368029259421,5.979774542196717,2.4384574228435856,148.73152976640844,24.210309458133064,17.857719730893475,11.5667326743298,5.428790391900541,0.0,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,20.037776250829424,32.37586919526338,16.944765761229018,19.028342580387395,22.559616494716465,0.0,9.467009378641833,0.0,12.965578028838586,44.73348930169089,33.86721054878994,0.0,5.749511833283905,15.065563076551069,10.077801322358383,5.749511833283905,0.0,60.376421632274784,0.0,5.817220841045895,23.3235667046074,17.05774782414651,0.0,10.902924932081056,0.0,75.00999999999999,17.215316520898284,19.086016810659167,0.0,23.598398499822668,30.043111637408877,19.15587988028676,6.196843571613076,4.567099647791355,18.871318913218293,4.899909730850478,4.736862953800049,22.556683437263793,0.0,28.085371659380563,9.363410540086191,-0.22381680128433334,-1.5426565069196736,0.9940744415049967,1.342611961451247,5.075710339627637,2.0152775955562405,0.4444444444444444,26,1,7,0,2,2,1,1,2,6,1,8,2,0,1,1,4,1.5439999999999998,95.04130000000004,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,24,1,2,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,10.754123427432202,0.012526753523812495,10.754123427432202,0.012526753523812495,0.7848096466604593,290.40700000000004,264.19899999999996,290.199428072,116,0,0.21637413929960647,-0.4935194131908758,0.4935194131908758,0.21637413929960647,1.2857142857142858,2.0952380952380953,2.857142857142857,16.476811425787563,10.100599473644627,2.100511746798507,-2.2603603945602377,2.1720071869037656,-2.2854503586139647,5.721874372368839,-0.11847662470950787,1.7313506799186305,442.17117784826087,14.916002794556722,12.937072283865119,12.937072283865119,10.237183443017884,7.9240807093416565,7.9240807093416565,5.669190934358609,5.669190934358609,3.7170997582405616,3.7170997582405616,2.6359479201443987,2.6359479201443987,-1.5499999999999998,64442.4412725225,15.831633299657462,8.673845052319544,6.168273664833009,127.02469840769251,10.05365155780638,5.749511833283905,0.0,5.907179729351506,0.0,0.0,9.694446914922299,0.0,0.0,0.0,18.553555759849232,50.04816330922339,20.013250011515776,6.606881964512918,9.53140013787187,5.907179729351506,0.0,10.216698334856808,0.0,39.15178009730724,26.241151182250643,29.828919765543436,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,37.048240642452626,11.339293589984397,0.0,38.17047518309165,24.26546827384644,0.0,0.0,0.0,41.57,0.0,4.794537184071822,0.0,5.907179729351506,13.151638370425493,18.71508986212249,44.83916637199079,0.0,6.06636706846161,28.41579954024164,4.736862953800049,5.747822499370118,0.0,13.26741026210026,2.771743137537343,1.3159823790627363,0.9359845672048408,8.353488852701064,4.83587375989734,6.271694542126298,0.0,0.5882352941176471,21,1,4,0,1,1,1,0,1,3,1,4,7,0,1,1,2,2.5775000000000006,84.36570000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,cloxacillin,1,2,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,12.995622795414462,-1.0564710346849038,12.995622795414462,0.19573307718149047,0.7092649200190689,435.8890000000002,417.7450000000002,435.0655693559999,152,0,0.32739938471432256,-0.479672802365529,0.479672802365529,0.32739938471432256,1.3448275862068966,2.0344827586206895,2.689655172413793,35.495692430412056,9.95449379593374,2.638155636146213,-2.430835356216941,2.504349499670415,-2.702126271785807,8.013156876862382,-0.15939472671402521,1.5979754118001421,1036.6019885542453,21.085057479767894,15.8022985961558,17.37472412310198,13.630734840239553,8.880481722541315,10.138099006805437,7.491492011293958,9.669577277407122,5.180293646419485,7.081412462307007,3.8354617747405273,5.686095011792634,-2.52,2912873.7018842073,19.78162067422846,6.773308085557597,2.9954915958817363,175.10646187164693,19.846320666670863,34.47518137668456,0.0,5.907179729351506,5.907179729351506,5.969305287951849,9.589074368143644,4.794537184071822,0.0,11.761884949391115,34.95670435274279,26.83757866753348,10.310473944914555,5.022633313741326,24.013233884029518,41.14648958627849,0.0,15.373361591982254,0.0,42.975788523554094,0.0,40.6118004981592,0.0,11.257379486545457,5.316788604006331,0.0,0.0,23.36282483962363,55.151342053953705,9.589074368143644,6.923737199690624,29.965710494024506,28.788563210819788,5.022633313741326,11.257379486545457,0.0,112.74,39.98824167113708,19.490138947056174,0.0,11.257379486545457,16.346332224312764,0.0,16.66179468024159,45.03667987291831,0.0,10.473451861131776,16.124034827205865,4.541556435437658,7.590725474850457,38.56028248279976,16.16571345056101,1.0263729348169748,-1.695413467882461,5.179594711320867,0.0,5.158945755873516,0.0,0.3684210526315789,29,2,8,0,2,2,1,1,2,6,2,10,4,0,2,2,4,2.5487200000000003,106.66800000000003,1,0,0,0,0,1,0,0,1,1,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,cefoperazone,1,2,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,13.560167779801167,-1.4239823801629001,13.560167779801167,0.08230332674975749,0.14453824042940433,645.6800000000003,618.4640000000002,645.1424008240001,232,0,0.3521585022062475,-0.5079666200063164,0.5079666200063164,0.3521585022062475,1.1363636363636365,1.8636363636363635,2.5,32.16794351956814,10.007094190598057,2.542943874027159,-2.4930010476472932,2.413087320209351,-2.709034782013906,8.00550481378691,-0.1531873844316754,1.3149886827209931,1562.591958886522,31.706013344398016,23.367894473470646,25.000887635326098,21.010146808445512,13.27076828298252,15.305121632616663,9.84276823074382,11.890259377185505,7.196478414204155,9.632983790878328,4.864559873263209,7.199481553646899,-4.65,5274769017.989464,30.796209802192134,12.527239969114575,5.786628970610092,257.51684098080267,25.74654172854455,28.9041056176044,0.0,11.063616211172214,5.907179729351506,23.81477925899293,28.97796819798824,14.270877303288827,0.0,16.860566757692155,23.894619086314336,40.61979754968984,38.18764841390849,0.0,38.98027789411234,59.15290861647818,0.0,45.54056133532005,7.04767198267719,29.537728152775998,31.139976431231304,41.09906360866854,0.0,5.749511833283905,10.633577208012662,4.794537184071822,5.749511833283905,23.52376989878223,123.30486770803277,31.0203579030363,0.0,18.52902952053558,40.69204859879225,0.0,0.0,0.0,220.25999999999996,53.0866931889606,38.98027789411234,0.0,41.60522266335546,22.174207148653025,4.899909730850478,57.37095083862433,13.971409182367815,0.0,26.159029207623437,0.0,1.4374736157410648,2.486164774453064,80.13246326549655,35.64253364382253,0.5364822566735072,-4.261013692316941,1.8401577231498365,0.0,2.042543842673422,1.6431945703069608,0.4,44,4,17,0,3,3,1,1,2,13,4,19,9,0,2,2,5,-1.1119999999999965,152.5529999999998,1,0,0,0,0,4,0,1,1,1,6,5,0,0,0,7,2,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1
7,rolitetracycline,1,2,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,14.011312608797727,-2.7923806768077606,14.011312608797727,0.15876203668362843,0.13782918946983724,527.5740000000002,494.3100000000004,527.2267650159998,204,0,0.21125959059278485,-0.5071758794651704,0.5071758794651704,0.21125959059278485,1.105263157894737,1.763157894736842,2.3947368421052633,16.320268339507034,9.53136591854332,2.6787714088634966,-2.525627479580846,2.5600401028817386,-2.698707840421992,6.354430909602237,-0.169158103705609,1.648478190107212,1292.9870763029267,27.73132184970986,21.561982342148337,21.561982342148337,17.828164150201975,12.733816582333159,12.733816582333159,11.08525170370981,11.08525170370981,8.655043442697888,8.655043442697888,6.686938991347491,6.686938991347491,-3.25,259083035.89410758,26.360822060353797,8.907093425605536,3.526929805233393,219.21792142846647,30.84942557820986,17.08178123500935,17.267395411991366,11.566489892729878,0.0,0.0,24.18343101391642,0.0,0.0,0.0,12.13273413692322,65.00087740580679,17.408916622392056,23.875034320727785,39.91624852641899,23.108899710750993,0.0,15.116608065707286,11.835812092322787,43.43014451958399,33.85354796607867,46.3553129035601,0.0,5.749511833283905,5.316788604006331,0.0,5.749511833283905,0.0,98.17863088120966,19.984662363199156,11.835812092322787,37.31310505186264,35.22840992016611,0.0,5.759164871656176,0.0,170.86999999999998,69.21796296897038,39.91624852641899,0.0,29.965927628503046,0.0,25.93115605767717,30.02274813592593,14.09534396535438,4.899909730850478,5.316788604006331,0.0,0.0,0.0,44.86919481498309,58.55069870926702,-5.647566870455334,-7.273229966666302,3.109052136730986,1.7726074307031026,3.1653410308213488,3.120569381282765,0.5185185185185185,38,6,11,3,1,4,1,0,1,11,6,11,4,2,1,3,5,0.3132000000000024,134.73369999999997,0,4,2,0,0,0,0,1,0,0,3,3,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ondansetron,1,2,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,13.034514361300076,0.0474130763416476,13.034514361300076,0.0474130763416476,0.7280085381147323,293.37000000000006,274.21799999999996,293.152812228,112,0,0.16967730777761764,-0.34691747198915435,0.34691747198915435,0.16967730777761764,1.3181818181818181,2.1363636363636362,2.909090909090909,16.139131939841437,9.846120559578674,2.3164562527826833,-2.2264678618926292,2.338351709369616,-2.2670961245194587,6.108019956263404,0.08876812447322238,1.7679612527097788,871.7199680624578,15.267220234572113,12.912661304850763,12.912661304850763,10.664703797946451,7.747799185881738,7.747799185881738,6.124526496679106,6.124526496679106,4.915714830643346,4.915714830643346,3.6681988749261443,3.6681988749261443,-2.36,209851.39677626584,13.313138633270487,4.833784702035854,1.8316089521630117,128.93835940075277,9.13419929558271,5.824404497999927,5.783244946364939,0.0,0.0,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,18.19910120538483,25.831747514004253,54.06432599660383,0.0,4.794537184071822,16.686169878445995,0.0,14.118177816529919,12.965578028838582,26.31013685145522,0.0,53.74093940161798,0.0,0.0,0.0,0.0,0.0,0.0,19.901422762894857,20.013250011515776,12.841643245852017,28.297142791543212,36.65915541707259,0.0,10.902924932081056,0.0,39.82,0.0,4.794537184071822,0.0,11.701150992526333,0.0,41.67718057354257,5.693927994848461,6.196843571613076,25.25331490822692,33.29858393613033,0.0,4.263832042076089,0.0,17.287575267378656,1.094493575207861,3.27521557697153,1.2998822121441174,8.205336911381735,5.630447898295121,2.7122768382044176,2.0642730116738055,0.3333333333333333,22,0,4,1,0,1,1,2,3,4,0,4,2,0,0,0,4,3.1285200000000017,86.02450000000005,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,diltiazem,1,2,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,13.555265810027715,-0.9162433862433865,13.555265810027715,0.20803883744855955,0.6757916364888925,414.52700000000016,388.3190000000002,414.1613283119999,154,0,0.30296730597444044,-0.4967682073380949,0.4967682073380949,0.30296730597444044,1.1379310344827587,1.8275862068965518,2.4482758620689653,32.166665673506905,10.053098608783873,2.4018560086106238,-2.280537173360715,2.4635872276621145,-2.447107051837124,7.994207047945361,-0.15242797743725822,2.0558523189198885,869.370915000003,20.965890847321376,17.123384897588586,17.939881478516316,13.901085903164901,9.433770932706608,10.313423743961502,7.102520993722727,8.285917447117116,4.702468039214365,6.074916214764001,3.238277154034226,4.556752117176849,-2.51,3020643.091876138,21.204924512748313,9.325064666284545,4.9157600211884604,175.32499934087113,19.273545369301054,5.749511833283905,6.103966387748303,0.0,5.907179729351506,5.969305287951849,9.589074368143644,0.0,0.0,11.761884949391115,24.26546827384644,43.92426373089781,24.90873348703355,18.04712184594327,19.06280027574374,29.32575624137803,0.0,4.899909730850478,0.0,23.17312509293888,39.19456404930754,54.09438803938988,0.0,5.749511833283905,9.636772684650527,5.687386274683562,5.749511833283905,11.761884949391115,57.17501545435919,14.325937321943691,0.0,17.737126721369794,53.42642002321065,0.0,0.0,0.0,59.080000000000005,12.073271675700152,9.589074368143644,0.0,11.15711775933368,13.08951281182515,21.89583307518224,6.923737199690624,23.771592221519125,67.52619024389773,0.0,9.473725907600098,10.828902890675838,1.54208734882842,30.158230889080457,-0.3585071806500377,1.7473855190224241,0.052814670748924986,15.356779998066974,-0.9162433862433865,2.548077373881396,5.540471876588988,0.36363636363636365,29,0,6,0,1,1,2,0,2,6,0,7,6,0,0,0,3,3.368500000000002,114.49500000000005,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Amiloride,1,2,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,11.309989921894683,-0.8315740740740745,11.309989921894683,0.07368827160493785,0.34409154985497703,229.63099999999997,221.567,229.04788555599998,80,0,0.3021525290478107,-0.38165341498690863,0.38165341498690863,0.3021525290478107,1.2,1.8,2.3333333333333335,35.495696476056615,10.365036373236611,2.1470445982479323,-2.019775837096103,2.171754188304577,-2.2446320920977123,6.313744210610685,0.09984331012739718,3.2110725546147147,439.35170474223344,11.585421958697399,7.437254626731468,8.193183572749922,6.913591357920933,3.6394477066156714,4.017412179624898,2.47532587988936,2.833338967339677,1.3380687410267638,1.616208537090463,0.7691436025298147,0.895916740739092,-2.09,1562.7421450468037,10.98745933384973,3.964406732215082,2.43654431920468,89.32025691101963,22.93466990864874,0.0,28.442317936155142,0.0,0.0,5.907179729351506,4.794537184071822,9.967957041894417,4.992404732635669,0.0,11.600939890232516,0.0,0.0,0.0,4.794537184071822,35.10339974399791,0.0,9.967957041894417,16.459739686960038,0.0,11.46733495432437,10.847037811741252,0.0,0.0,22.93466990864874,11.635725555670057,0.0,11.600939890232516,21.834691339989757,0.0,0.0,10.488465178920283,4.992404732635669,5.153109816892792,0.0,0.0,159.29,11.866734298095341,4.794537184071822,0.0,22.48276336741131,0.0,0.0,0.0,0.0,0.0,14.960361774530085,34.535609798881254,0.0,5.549068720080624,21.74185185185185,-0.14042328042328012,20.46212852733686,-1.501514707734945,0.0,0.0,0.0,0.0,0.0,15,8,8,0,0,0,0,1,1,5,4,9,1,0,0,0,1,-1.2919999999999998,56.00709999999998,0,0,0,2,0,2,0,0,0,0,1,1,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
