num,name,BBclass,Check,smiles
1,Propanolol,1,2,CC(C)NCC(O)COc1cccc2ccccc12
2,Terbutylchlorambucil,1,2,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1
3,40730,1,2,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
4,24,1,2,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1
5,cloxacillin,1,2,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
6,cefoperazone,1,2,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O
7,rolitetracycline,1,2,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
8,ondansetron,1,2,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
9,diltiazem,1,2,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
10,Amiloride,1,2,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
11,M2L-663581,0,2,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O
12,alovudine,1,2,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O
13,18,1,2,ClCCl
14,24959,1,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1
15,methadone,1,2,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
16,alfentanil,1,2,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
17,BRL53080,1,2,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
18,hyoscyamine,1,2,CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2
19,glyburide,1,2,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
20,lamotrigine,1,2,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
21,2-Methylpentane,1,2,CCCC(C)C
22,Dexamfetamine,1,2,C[C@H](N)Cc1ccccc1
23,SKF-93619,0,2,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1
24,nadolol,1,2,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2
25,sufentanil,1,2,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
26,12,0,2,CCNC(=NC#N)NCCSCc1ncccc1Br
27,zolpidem,1,2,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
28,clozapine,1,2,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
29,Org12692,1,2,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl
30,piperacillin,1,2,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O
31,Pentobarbital,1,2,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
32,Levofloxacin,1,2,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
33,compound 40,1,2,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1
34,RO19-4603,1,2,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
35,fentanyl,1,2,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
36,etomidate,1,2,CCOC(=O)c1cncn1C(C)c1ccccc1
37,11a,0,2,CN(C)c1cc(-c2nc(N)n[nH]2)ccn1
38,prochlorperazine,1,2,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
39,2-(3'-Iodo-4'-aminophenyl)-6-hydroxybenzothiazole,1,2,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I
40,compound 34,0,2,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1
41,granisetron,1,2,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2
42,thiamphenicol,1,2,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1
43,16,1,2,NC(N)=Nc1nc(-c2ccccc2)cs1
44,mexiletine,1,2,Cc1cccc(C)c1OCC(C)N
45,dextropropoxyphene,1,2,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
46,Nor-1-chlorpromazine,1,2,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21
47,compound 37,1,2,CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1
48,cefamandole,1,2,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1
49,Y-G 15,1,2,CN(C)CCc1ccccn1
50,Org13011,1,2,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1
51,Quinidine,1,2,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
52,38480,1,2,CCc1ccccc1
53,17,1,2,NC(N)=Nc1nc(-c2cccc(N)c2)cs1
54,vinblastine,1,2,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
55,Bacitracin,1,2,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
56,Nor-2-chlorpromazine,1,2,NCCCN1c2ccccc2Sc2ccc(Cl)cc21
57,compound 36,1,2,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1
58,19,0,2,CNC(=NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1
59,Y-G 14,1,2,CNCCc1ccccn1
61,sertraline,1,2,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
64,vincristine,1,2,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
65,SB-222200,1,2,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1
66,SB-656104-A,1,2,O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2cccc(Cl)c2)CC1
